n,p,m,L,rep,time_vd,time_tl,mem_vd_mb,mem_tl_mb,ok_vd,ok_tl
1000,1000,1,1000,0,0.025708,0.024912,11.1562,19.3125,1,1
1000,1000,1,1000,1,0.0253533,0.0280626,11.125,20.6875,1,1
1000,1000,1,1000,2,0.0274501,0.0327025,11.25,21.2188,1,1
1000,1000,1,1000,3,0.0260188,0.0234586,11.2188,19.1875,1,1
1000,1000,1,1000,4,0.0264815,0.0243923,11.2031,19.4844,1,1
1000,1000,1,1000,5,0.0263992,0.0325946,11.2031,20.9844,1,1
1000,1000,1,1000,6,0.0257118,0.0246584,11.1562,19.8438,1,1
1000,1000,1,1000,7,0.0225404,0.0300147,11.0156,20.4531,1,1
1000,1000,1,1000,8,0.0300192,0.0319431,11.3281,20.2969,1,1
1000,1000,1,1000,9,0.0262876,0.0298756,11.2188,19.7031,1,1
1000,1000,1,1000,10,0.025157,0.0255353,11.1094,19.75,1,1
1000,1000,1,1000,11,0.0273652,0.0216443,11.25,19,1,1
1000,1000,1,1000,12,0.0275856,0.033903,11.2344,19.8438,1,1
1000,1000,1,1000,13,0.0296163,0.026247,11.3438,19.7344,1,1
1000,1000,1,1000,14,0.024842,0.0216023,11.1094,19.25,1,1
1000,1000,1,1000,15,0.0280973,0.0281604,11.3125,20.0469,1,1
1000,1000,1,1000,16,0.0266593,0.0280465,11.2188,20.8125,1,1
1000,1000,1,1000,17,0.0272445,0.0258354,11.2656,20.2031,1,1
1000,1000,1,1000,18,0.0243951,0.0247048,11.125,19.9531,1,1
1000,1000,1,1000,19,0.0292603,0.0281159,11.3438,20.5938,1,1
1000,1000,1,1000,20,0.026084,0.024249,11.2344,20.2031,1,1
1000,1000,1,1000,21,0.0251938,0.0221828,11.1406,19.9688,1,1
1000,1000,1,1000,22,0.022603,0.0271157,11,19.75,1,1
1000,1000,1,1000,23,0.0343544,0.0258052,11.4688,20.1562,1,1
1000,1000,1,1000,24,0.0263397,0.0278532,11.2188,20.5469,1,1
1000,1000,1,1000,25,0.0284378,0.03655,11.2969,20.6562,1,1
1000,1000,1,1000,26,0.0252792,0.0396258,11.1406,20.9844,1,1
1000,1000,1,1000,27,0.0282517,0.0272938,11.3125,20.3125,1,1
1000,1000,1,1000,28,0.027361,0.0318333,11.2656,20.2969,1,1
1000,1000,1,1000,29,0.0213925,0.0192635,10.9531,19.7188,1,1
1000,1000,1,1000,30,0.0223224,0.0188769,11.0312,18.9219,1,1
1000,1000,1,1000,31,0.0206831,0.0183335,10.9219,18.7969,1,1
1000,1000,1,1000,32,0.0209048,0.0177258,10.9375,19.1406,1,1
1000,1000,1,1000,33,0.0276348,0.02204,11.2188,19.4531,1,1
1000,1000,1,1000,34,0.0302276,0.0347644,11.4688,21.4062,1,1
1000,1000,1,1000,35,0.0214085,0.0205541,10.9531,19.2031,1,1
1000,1000,1,1000,36,0.0281105,0.031844,11.3125,20.7031,1,1
1000,1000,1,1000,37,0.0276872,0.0303371,11.2656,20.7812,1,1
1000,1000,1,1000,38,0.0263239,0.0242905,11.2344,19.7031,1,1
1000,1000,1,1000,39,0.0291583,0.029668,11.3594,20.4375,1,1
1000,1000,1,1000,40,0.0294549,0.02834,11.3594,20.4219,1,1
1000,1000,1,1000,41,0.0227013,0.024512,11.0312,19.7188,1,1
1000,1000,1,1000,42,0.0300088,0.0346385,11.4531,21.5,1,1
1000,1000,1,1000,43,0.0289333,0.0310188,11.2969,21.2969,1,1
1000,1000,1,1000,44,0.0203972,0.0185426,10.9219,18.8125,1,1
1000,1000,1,1000,45,0.0279724,0.0237068,11.25,19.8594,1,1
1000,1000,1,1000,46,0.02137,0.020153,10.9688,19.3594,1,1
